Compay name, email, Telephone, Address
益振兴机械公司 Aik Chin Hin Machinery Co.,sales@aikchinhin.com, (65) 6483 5888  ,Blk. 5022 #01-31 Ang Mo Kio Ind. Park 2 Singapore 569525 
Amax Machinery Pte. Ltd.,amaxmac@singnet.com.sg, (65) 6482 6382 ,Blk. 22 Woodlands Link #02-48 Singapore 738734
ASSAABLOY Singapore Pte. Ltd.,NaN, (65) 6880 0707  ,10 Arumugam Road #06-00 Lion Building A Singapore 409957 
強峰贸易私人有限公司 Awstrong Trading Pte. Ltd.,awstrong@singnet.com.sg, (65) 6294 4780 / 6294 5070 / 6292 9002 ,Blk. 42 #01-08 Cambridge Road Singapore 210042 
万和利五金 Ban Hoe Lee Hardware,NaN, (65) 6292 4406 ,Blk. 2 Rochor Centre #01-582 / 584 Singapore 180002 
必盛贸易与机械 Beserv Trading & Engineering,beserv@mail.com, (65) 6266 4767  ,10T Enterprise Road Enterprise 10 Singapore 627677 
Bobifil Machinery & Engineering,NaN, (65) 6285 4425  ,Blk. 1003 Eunos Ave 8 #01-37 Singapore 409498 
木成五金漆私人有限公司 Bok Sing Hardware Paints Pte. Ltd.,sales@bokseng.com, (65) 6262 2336 / 6262 1610  ,Blk. 1 Pioneer Road North #01-08 Singapore 628455 
文顺五金私人有限公司 Boon Soon Hardware Pte. Ltd.,sales@boonsoon.com.sg, (65) 6744 1202  ,Blk. 3016 Ubi Road 1 #01-139 Singapore 408706 
魯班行 Buildersmart Pte. Ltd.,NaN, (65) 6545 5333 (Sales) / (65) 6545 5375 (Admin Office)  ,48A Changi South Street 1 Singapore 486114 
曾文安（私人）有限公司 Chan Boon Wan (Pte) Ltd.,cbwcolp@singnet.com.sg, (65) 6383 0473  ,153 Kg. Ampat #05-01 Jun JieInd. Bldg Singapore 368326 
陈万利贸易私人有限公司 Chan Man Lee Trading Co. Pte. Ltd.,cmltc@singnet.com.sg, (65) 6294 6338 (6 Lines) / 6841 6733 ,75 Rowell Road Singapore 208011
钟大昌五金私人有限公司 Chang Tai Chiang Hardware Pte. Ltd.,ctckhi@pacific.net.sg, (65) 6453 9132  ,10 Admiralty Street #02-12 Northlink Bldg Singapore 757695 
志发私人有限公司 Chee Fatt Co. Pte. Ltd.,enquiries@cheefatt.com.sg, (65) 6294 2066 / 6293 0758 ,54 Tanjong Penjuru Singapore 609035 
張旺记五金商店Cheong Wong Kee Hardware,doorgear@singnet.com.sg, (65) 6220 4763 ,Blk. 5 Banda Street #01-90 Singapore 50005 
华通国际(私人)有限公司Chinese International Corpn Pte. Ltd.,NaN, (65) 6533 2844  ,11-B Hong Kong St Singapore 059654 
益丰私人有限公司Chop Aik Hong Pte. Ltd.,cahpl@singnet.com.sg, (65) 6743 2828  ,30 Kallang Pudding Rd #01-05 Valiant Ind. BldgSingapore 349312 
蔡振华私人有限公司Choy Chan Wah Enterprises Pte. Ltd.,choyccwe@pacific.net.sg, (65) 6532 5452 ,Singapore Post Centre PO Box. 988Singapore 914033 
泉发东记公司Chuan Huat Tong Kee Co.,sales@chtk.sg, (65) 6298 6928 / 6298 6902 / 6292 4894  ,11 Syed Alwi Road #01-01 Teck Heng Long Ind. Bldg Singapore 207629 
国明五金机械公司Comac Hardware & Engrg. Co.,comac@singnet.com.sg, (65) 6294 1224  ,Blk. 803 King George’s Avenue #02-198Singapore 200803
康达装修运输私人有限公司 Contat Decoration & Transport Pte. Ltd.,enquiry@contatdecor.com, (65) 6442 4904  ,Blk. 3018 Bedok North St. 5 #05-20/23 (East Link)Singapore 486132
达洲贸易Da Zhou Trading,dazhoutrading@gmail.com, (65) 6773 3383,48 Toh Guan Road East #01-137 Enterprise HUBSingapore 608596
大元五金贸易私人有限公司Dawin Hardware Trading Pte. Ltd.,dawin@singnet.com.sg, (65) 6482 3966 / 6482 3866 ,Blk. 5044 Ang Mo Kio Ind. Park 2 #01-585Singapore 569547
泰康私人有限公司Duncan Products Pte. Ltd.,Duncan@pacific.net.sg, (65) 6749 5319 (8 Lines) ,41 Genting Road Singapore 349486 
裕康五金私人有限公司Ekon Hardware Pte. Ltd.,sales@ekonhardware.com, (65) 6292 8111 ,Blk. 1765 Geylang Bahru #01-04AKallang Distripark Singapore 339701
瀛源公司Eng Guan & Co.,engguanco@yahoo.com.sg, (65) 6292 9562 ,Blk. 30 Kelantan Road #01-81Singapore 200030 
亿威五金私人有限公司E-Weal Hardware Pte. Ltd.,eweal@singnet.com, (65) 6293 1141 (4 Lines) ,36 Kallang Place Singapore 339164 
裕荣经销私人有限公司Ewins Marketing Pte. Ltd.,ewinsmkt@singnet.com.sg, (65) 6296 3869 ,107 Geylang Road #01-01 Singapore 389214 
裕荣私人有限公司Ewins Pte. Ltd.,ewins@singnet.com.sg, (65) 6459 3311,39 Sungei Kadut Avenue Singapore 729663 
卓越五金私人有限公司Excel Hardware Pte. Ltd.,sales@excelhw.com.sg, (65) 6853 3113 ,10 Admiralty St. #03-52 NorthlinkSingapore 757695
Fastener Group Pte. Ltd.,joe@fastener.com.sg, (65) 6384 6355 / 6384 6913  ,8 Kaki Bukit Avenue 4 #03-20Premier @ Kaki Bukit Singapore 415875
丰泰五金私人有限公司Firm Hardware Pte. Ltd.,gohes@firmhardware.com.sg, (65) 6741 4188,1 Ubi Crescent #03-07 Number One BldgSingapore 408563
霍惠记铜铁(星)公司Fok Wai Kee Hardware (S) Co.,NaN, (65) 6747 2295 ,104 Sims Avenue Singapore 387428
富年贸易 (1991)Funian Trading (1991),quek_kim_herr@yahoo.com.sg, (65) 6344 6793 ,Blk. 72 Marine Drive #12-65Singapore 440072 
德星五金私人有限公司G & S Hardware Pte. Ltd.,gnshardwarepl@gmail.com, (65) 6846 8286 (4 Lines) ,18 Tampines Industrial Crescent #06-03Singapore 528605
义和五金机械私人有限公司Ghee Hoe Hardware & Engineering Co. Pte. Ltd.,ghengrg@singnet.com.sg, (65) 6296 9555 ,Blk. 34 Whampoa West #01-39 Singapore 330034 
源明五金机械(私人)有限公司Guan Ming Hardware & Engineering,sales@guanming.com.sg, (65) 6567 6616 (8 Lines) ,49 Joo Koon Circle Singapore 629068 
中源企业(私人)有限公司Grand Central Entp. Pte. Ltd.,grancent@singnet.com.sg, (65) 6252 5649 / 6252 6570 ,18 Tannery Lane #03-02 Lian Tong BuildingSingapore 347786 
汇国五金机械私营有限公司H.K.Hardware & Engrg. Pte. Ltd.,sales@hkhardware.com.sg, (65) 6565 5555 (30 Lines),49 Joo Koon Circle Singapore 629068 
亨利民 (远东) 私人有限公司Handyman Centre (F.E.) Pte. Ltd.,ptym55@hotmail.com, (65) 6737 7815 / 6737 9592 /       6737 1057 (For Accounts) ,304 Orchard Road #03-01 Lucky PlazaSingapore 238863
兴隆贸易Heng Yong Trading,sales@hengyong.com.sg, (65) 6291 3293  ,15 Cuff Road Singapore 209732
协发漆料公司Hiap Huat Paints Co.,hhpaints@singnet.com.sg, (65) 6745 4111,19 Tanjong Penjuru Singapore 609021
福顺发铜铁机械公司Hock Soon Huat H’ware & Machinery Co.,hshhw@singnet.com.sg, (65) 6295 0184 ,2-4 Moonstone Lane Singapore 328450
Home-Fix D.I.Y Pte. Ltd. - text ,enquiry@home-fix.com, (65) 6671 9000 ,19 Tai Seng Avenue #06-01Singapore 534054 
丰供应私人有限公司Hong Supply Pte. Ltd.,sktan@hongsupply.com, (65) 6299 9941 ,Blk. 801 French Road #01-39Singapore 200801
Horme Hardware Pte. Ltd. - text ,chanhh@horme.com.sg, (65) 6840 8888 ,1 Ubi Crescent #01-01 Number One BuildingSingapore 408563 
亨泰公司Hung Thye Co.,NaN, (65) 6294 3450 ,Blk. 808 French Road #07-159Singapore 200808 
合丰五金机械私人有限公司Hup Hong Hardware Engrg. Pte. Ltd.,NaN, (65) 6299 5188 ,10 Kaki Bukit Rd 1 #01-27Kaki Bukit Ind. BldgSingapore 416175 
合丰机械(新)私人有限公司Hup Hong Machinery (S) Pte. Ltd.,sales@huphong.com.sg, (65) 6296 7711 (10 Lines),Maude Road #01-12/14 Jalan Besar PlazaSingapore 208511 
合德五金私人有限公司Hup Teck Hardware Co.,hupteck@gmail.com, (65) 6294 0406,Blk. 25 Jalan Berseh #01-114Singapore 200025
亿美机械贸易私人有限公司Image Engineering & Trading Pte. Ltd.,iettool@singnet.com.sg, (65) 6742 3937  ,No. 51 Ubi Ave 1 #05-27 (Level 7)Singapore 408933
嘉鴻五金机械企业有限公司Kah Hong Hardware Engineering,sales@kahhong.com.sg, (65) 6292 9178,Blk. 7 King George’s Ave #01-108Singapore 201007
